Reference ID,Current main path,Current fact,Required implementation delta,Risk if ignored,Priority
MAIN-001,backend/app/services/outbound_channel_registry.py,Email is experimental_not_ready with missing email_account_registry/email_send_schema/email_provider_adapter,Replace Email block with conditional capability based on Email runtime/account/recipient/suppression/readiness,Email remains invisible/unusable or becomes incorrectly sendable,P0
MAIN-002,backend/app/services/message_dispatch.py,ALLOWED_OUTBOUND_PROVIDERS={'openclaw'} and worker uses external_channel_values(),Do not set OUTBOUND_PROVIDER=ses. Add Email-specific gate and channel-aware claim eligibility,Existing WhatsApp/Telegram/SMS can be broken or Email rollback can dead-letter rows,P0
MAIN-003,backend/app/services/outbound_semantics.py,external_channel_values includes email for semantic classification,Keep semantic classification but do not use it as worker eligibility source,Disabled Email rows can be claimed and modified,P0
MAIN-004,backend/app/models.py,ChannelAccount is generic and TicketOutboundMessage lacks Email metadata fields,"Add EmailChannelAccount, EmailOutboundMetadata, EmailDeliveryEvent, EmailInboundMessage, EmailSuppressionEntry",Cannot support subject/headers/bounce/inbound/suppression production semantics,P0
MAIN-005,backend/app/services/openclaw_bridge.py,resolve_channel_account is not provider-scoped; ALLOWED_CHANNEL_ACCOUNT_PROVIDERS excludes email,Create provider-scoped resolver and keep OpenClaw providers isolated from Email,Email account can contaminate chat-channel routing,P0
MAIN-006,backend/app/api/tickets.py,/outbound/send uses require_outbound_channel_sendable then send_outbound_message,Reuse endpoint but extend payload validation and create Email metadata transactionally,Email send may lack subject/to/from/threading metadata,P0
MAIN-007,backend/app/schemas.py,OutboundSendRequest has only channel/body,Extend compatibly with optional Email fields; non-Email behavior must remain unchanged,Frontend/backend contract insufficient for production Email,P1
MAIN-008,webapp/src/lib/api.ts,OutboundSendPayload has channel/body only,Extend payload type to subject/to_email/cc/bcc/html_body/attachment_ids,Agent UI cannot send production Email fields,P1
MAIN-009,webapp/src/routes/accounts.tsx,Providers are WhatsApp/Telegram/SMS only,Add Email admin configuration page or Email tab; do not fake fields unsupported by backend,Admin cannot configure Email without engineering support,P0
MAIN-010,webapp/src/components/operator/CustomerReplyPanel.tsx,Reply composer shows channel/body and generic target,Add Email mode with From/To/Subject/Body/CC/BCC/readiness/confirmation,Agent cannot safely use Email for customer reply,P0
MAIN-011,backend/requirements.txt,boto3 and email-validator already present,Use existing dependencies for SES and validation; avoid unnecessary new dependencies,Supply-chain and deployment risk grows unnecessarily,P2
