Reference ID,Current main path,Current fact,Required implementation delta,Linked Atomic Tasks,Risk if ignored,Priority
MAIN-001,backend/app/services/outbound_channel_registry.py,Email is present but marked experimental_not_ready with missing email_account_registry/email_send_schema/email_provider_adapter.,"Replace static Email block with conditional Email capability based on runtime gate, provider-scoped account, verified identity, recipient, suppression, and secret strategy.","EMAIL-BE-032, EMAIL-BE-033",Email remains invisible/unusable or becomes sendable without production closure.,P0
MAIN-002,backend/app/services/message_dispatch.py,ALLOWED_OUTBOUND_PROVIDERS={'openclaw'} and external dispatch gate is global.,Add Email-specific gate; do not use OUTBOUND_PROVIDER=ses; route email to Email adapter before legacy OpenClaw path.,"EMAIL-BE-003, EMAIL-BE-038, EMAIL-BE-039, EMAIL-BE-049",Existing outbound channels break or Email rollback burns pending queue.,P0
MAIN-003,backend/app/services/outbound_semantics.py,EXTERNAL_OUTBOUND_CHANNELS includes email for UI/semantic classification.,Keep semantic classification but do not use it alone for worker eligibility; add channel-aware queue summary counts.,"EMAIL-BE-038, EMAIL-BE-084",Disabled Email rows may be claimed and modified by worker.,P0
MAIN-004,backend/app/models.py::ChannelAccount,ChannelAccount is generic and lacks provider-specific Email account fields.,Add EmailChannelAccount table linked to ChannelAccount(provider=email); keep secrets as secret_ref only.,"EMAIL-DB-006, EMAIL-DB-007, EMAIL-BE-020",Email sender identity cannot be governed or audited safely.,P0
MAIN-005,backend/app/models.py::TicketOutboundMessage,Outbound row has channel/status/body/provider fields but lacks subject/to/headers/event metadata.,Add EmailOutboundMetadata table and create metadata transactionally with Email outbound message.,"EMAIL-DB-008, EMAIL-DB-009, EMAIL-BE-034, EMAIL-BE-035, EMAIL-BE-036","No threading, audit, provider id mapping, or reliable customer reply link.",P0
MAIN-006,backend/app/services/openclaw_bridge.py::ALLOWED_CHANNEL_ACCOUNT_PROVIDERS,Allowed admin channel providers are whatsapp/telegram/sms and coupled to OpenClaw service.,Do not just add email here; create provider-scoped resolver and Email-specific admin API path.,"EMAIL-BE-016, EMAIL-BE-018, EMAIL-BE-019, EMAIL-BE-020",Email account can pollute OpenClaw channels or admin cannot configure Email safely.,P0
MAIN-007,backend/app/services/openclaw_bridge.py::resolve_channel_account,Resolver does not filter by provider when falling back by market/global account.,Implement resolve_channel_account_for_provider and patch unsafe callsites.,"EMAIL-BE-016, EMAIL-BE-017, EMAIL-BE-018",Cross-channel account pollution under market/global fallback.,P0
MAIN-008,backend/app/api/tickets.py::send_message_endpoint,Existing send endpoint enforces require_outbound_channel_sendable before queueing.,Reuse endpoint but extend schema and Email validation/metadata creation without breaking legacy channels.,"EMAIL-BE-030, EMAIL-BE-031, EMAIL-BE-034",Email requires a parallel endpoint or breaks existing send contract.,P1
MAIN-009,backend/app/schemas.py::OutboundSendRequest,Send schema currently has only channel and body.,Add optional Email-only subject/to_email/cc/bcc/html_body/attachment_ids fields with backward compatibility.,"EMAIL-BE-030, EMAIL-BE-031, EMAIL-FE-077",Agent cannot send production-grade Email from ticket UI.,P1
MAIN-010,webapp/src/lib/api.ts::OutboundSendPayload,Frontend payload type is channel/body only.,Extend frontend payload and mutation to submit Email-specific fields only in Email mode.,"EMAIL-FE-077, EMAIL-FE-081",Frontend cannot use new backend Email schema.,P1
MAIN-011,webapp/src/routes/accounts.tsx,"Admin account UI provider list only includes WhatsApp, Telegram, SMS.","Add Email account admin page or tab with Email-specific fields/readiness/test-send/suppression, not just a provider dropdown option.","EMAIL-FE-068, EMAIL-FE-069, EMAIL-FE-070, EMAIL-FE-071, EMAIL-FE-072, EMAIL-FE-073, EMAIL-FE-074, EMAIL-FE-075, EMAIL-FE-076",Admins still cannot configure Email from后台; business value not closed.,P1
MAIN-012,webapp/src/components/operator/CustomerReplyPanel.tsx,Agent reply panel renders generic channel/body flow and external confirmation.,Add Email mode with From/To/Subject/Body/readiness/missing reasons and preserve non-email behavior.,"EMAIL-FE-078, EMAIL-FE-079, EMAIL-FE-080, EMAIL-FE-081, EMAIL-FE-083",Customer service cannot use Email from normal workflow.,P1
MAIN-013,backend/requirements.txt,boto3 and email-validator are already present.,Use existing boto3/email-validator; avoid heavy dependency unless justified.,"EMAIL-BE-044, EMAIL-BE-021, EMAIL-BE-031",Unnecessary dependency risk and deployment churn.,P2
MAIN-014,backend/app/api/admin.py::get_queue_summary,Queue summary counts pending/dead outbound only in aggregate.,Add channel-specific Email queue counts and event counters.,"EMAIL-BE-084, EMAIL-BE-085",Ops cannot distinguish Email backlog from other outbound channels.,P1
MAIN-015,backend/app/services/timeline_service.py,Timeline exists but has no Email delivery/inbound event semantics.,Add Email timeline serialization for queued/sent/delivery/bounce/complaint/inbound/unresolved events.,"EMAIL-BE-058, EMAIL-BE-065, EMAIL-FE-082",Agents cannot see actual Email lifecycle; support loop is opaque.,P1
