Task ID,Phase,Layer,Atomic task,Primary files,Acceptance check,Blocker if missing,Priority
MG-001,Foundation,Settings,"Add fail-closed Email envs: OUTBOUND_EMAIL_ENABLED=false, EMAIL_PROVIDER=disabled, EMAIL_DELIVERY_EVENTS_ENABLED=false, EMAIL_INBOUND_ENABLED=false","backend/app/settings.py, deploy/.env.prod.example",Settings load in dev/test/prod; production starts with defaults disabled,Email may accidentally send before rollout,P0
MG-002,Foundation,Settings,Validate EMAIL_PROVIDER allowed values: disabled/ses only,backend/app/settings.py,Invalid provider fails startup in production,Misconfiguration silently routes to unknown provider,P0
MG-003,Foundation,Data,Create EmailChannelAccount model/table,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py",Migration upgrade creates table and downgrade is safe,Admin cannot configure sender identity,P0
MG-004,Foundation,Data,Create EmailOutboundMetadata model/table with subject/to/from/reply_to/headers/provider fields,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py",Metadata row is created with each Email outbound row,Email cannot support threading/audit/provider metadata,P0
MG-005,Foundation,Data,Create EmailDeliveryEvent model/table with idempotency key,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py",Duplicate provider event is ignored,Webhook can duplicate timeline and suppression,P0
MG-006,Foundation,Data,Create EmailInboundMessage model/table,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py",Inbound raw event can be stored and linked/unresolved,Customer replies cannot be audited,P0
MG-007,Foundation,Data,Create EmailSuppressionEntry model/table,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py",Bounce/complaint creates suppression; send to suppressed recipient blocked,Repeated sends to bad/complained recipients,P0
MG-008,Foundation,Resolver,Implement provider-scoped ChannelAccount resolver,backend/app/services/channel_account_registry.py,Email resolver never returns chat account; chat resolver never returns Email account,Cross-channel account contamination,P0
MG-009,Foundation,Admin API,Add Email account list/create/update/readiness endpoints,"backend/app/api/admin_email.py, backend/app/schemas.py, backend/app/main.py",Admin can CRUD account metadata; no raw secret stored,Backend cannot be configured by non-engineers,P0
MG-010,Foundation,Admin API,Add verification/health-check/test-send endpoints,"backend/app/api/admin_email.py, backend/app/services/email_providers/ses.py",Each endpoint returns structured readiness and missing reasons,Admin cannot self-serve rollout,P0
MG-011,Capability,Backend,Replace Email experimental block with conditional capability,backend/app/services/outbound_channel_registry.py,Email supports_send only when all gates pass,Email remains unusable or unsafe,P0
MG-012,Capability,Backend,Add suppression check to capability,"backend/app/services/outbound_channel_registry.py, backend/app/services/email_events.py",Suppressed recipient returns supports_send=false with reason,Complaint/bounce policy bypass,P0
MG-013,Send,Schema,Extend OutboundSendRequest compatibly for Email fields,backend/app/schemas.py,Existing non-Email tests still pass; Email fields validated,Breaks existing channels or lacks email fields,P0
MG-014,Send,Ticket service,Create EmailOutboundMetadata in same transaction as TicketOutboundMessage,backend/app/services/ticket_service.py,Rollback leaves neither partial row nor partial metadata,Outbox row lacks email context,P0
MG-015,Send,Runtime gate,Implement message-aware dispatch block reason,backend/app/services/message_dispatch.py,Email uses OUTBOUND_EMAIL_ENABLED/EMAIL_PROVIDER; chat uses OUTBOUND_PROVIDER=openclaw,Email/provider misconfiguration breaks existing channels,P0
MG-016,Send,Worker,Implement channel-aware claim eligibility,backend/app/services/message_dispatch.py,Disabled Email rows are not claimed or dead-lettered,Rollback corrupts queue,P0
MG-017,Send,Adapter,Implement email outbound route resolver,backend/app/services/outbound_adapters/email.py,Resolves account/from/to/subject/thread headers deterministically,Wrong sender/recipient/thread,P0
MG-018,Send,Provider,Implement SES provider abstraction send_email,"backend/app/services/email_providers/base.py, backend/app/services/email_providers/ses.py",Provider returns message id; tests mock boto3 client,Provider lock-in and untestable network calls,P0
MG-019,Send,Provider,Implement SES health and verification helpers,backend/app/services/email_providers/ses.py,Admin readiness shows verified/unverified/secret missing,Admin cannot know if account is ready,P0
MG-020,Send,Security,Implement header injection and HTML sanitization guards,backend/app/services/email_security.py,CRLF subject/to/from rejected; unsafe HTML removed or blocked,Header injection/XSS/PII risk,P0
MG-021,Events,Webhook,Add SES delivery event endpoint with signature verification/HMAC fallback,"backend/app/api/email_integrations.py, backend/app/services/email_events.py",Unauthenticated event rejected; replay rejected,Fake webhook can alter customer/ticket state,P0
